2021 rank,City,State[c],2021 estimate,2020 census,Change,2020 land area,2020 land area2,2020 population density,2020 population density2,Location
89,Chesapeake,Virginia,"251,269","249,422",+0.74%,338.5 sq mi,876.7 km,737/sq mi,285/km,36°40?N 76°18?W? / ?36.67°N 76.30°W
90,Winston–Salem,North Carolina,"250,320","249,545",+0.31%,132.7 sq mi,343.7 km,"1,881/sq mi",726/km,36°06?N 80°16?W? / ?36.10°N 80.26°W
91,Glendale,Arizona,"249,630","248,325",+0.53%,61.6 sq mi,159.5 km,"4,031/sq mi","1,556/km",33°32?N 112°11?W? / ?33.53°N 112.18°W
92,Scottsdale,Arizona,"242,753","241,361",+0.58%,184.0 sq mi,476.6 km,"1,312/sq mi",507/km,33°41?N 111°52?W? / ?33.68°N 111.86°W
93,Garland,Texas,"242,035","246,018",?1.62%,57.1 sq mi,147.9 km,"4,309/sq mi","1,664/km",32°54?N 96°38?W? / ?32.90°N 96.63°W
94,Boise,Idaho,"237,446","235,684",+0.75%,84.0 sq mi,217.6 km,"2,806/sq mi","1,083/km",43°36?N 116°14?W? / ?43.60°N 116.23°W
95,Norfolk,Virginia,"235,089","238,005",?1.23%,53.3 sq mi,138.0 km,"4,465/sq mi","1,724/km",36°55?N 76°14?W? / ?36.92°N 76.24°W
96,Spokane,Washington,"229,071","228,989",+0.04%,68.8 sq mi,178.2 km,"3,328/sq mi","1,285/km",47°40?N 117°26?W? / ?47.66°N 117.43°W
97,Fremont,California,"227,514","230,504",?1.30%,78.3 sq mi,202.8 km,"2,944/sq mi","1,137/km",37°29?N 121°56?W? / ?37.49°N 121.94°W
98,Richmond,Virginia,"226,604","226,610",0.00%,59.9 sq mi,155.1 km,"3,783/sq mi","1,461/km",37°32?N 77°28?W? / ?37.53°N 77.47°W
99,Santa Clarita,California,"224,593","228,673",?1.78%,70.8 sq mi,183.4 km,"3,230/sq mi","1,250/km",34°24?N 118°30?W? / ?34.40°N 118.50°W
100,San Bernardino,California,"222,203","222,101",+0.05%,62.1 sq mi,160.8 km,"3,577/sq mi","1,381/km",34°08?N 117°17?W? / ?34.14°N 117.29°W
101,Baton Rouge,Louisiana,"222,185","227,470",?2.32%,86.3 sq mi,223.5 km,"2,636/sq mi","1,018/km",30°26?N 91°08?W? / ?30.44°N 91.13°W
102,Hialeah,Florida,"220,490","223,109",?1.17%,21.6 sq mi,55.9 km,"10,329/sq mi","3,988/km",25°52?N 80°18?W? / ?25.86°N 80.30°W
103,Tacoma,Washington,"219,205","219,346",?0.06%,49.7 sq mi,128.7 km,"4,413/sq mi","1,704/km",47°15?N 122°27?W? / ?47.25°N 122.45°W
104,Modesto,California,"218,771","218,464",+0.14%,43.0 sq mi,111.4 km,"5,081/sq mi","1,962/km",37°38?N 121°00?W? / ?37.63°N 121.00°W
105,Port St. Lucie,Florida,"217,523","204,851",+6.19%,119.2 sq mi,308.7 km,"1,719/sq mi",664/km,27°17?N 80°23?W? / ?27.28°N 80.38°W
